RA,Nome,Fase,Turma,Ano_Nascimento,Idade,Gênero,Ano_Ingresso,IAA,IEG,IPS,IDA,IPV,IAN,INDE,Pedra,Defas,Ponto_de_Virada,Matem,Portug,Inglês,Pedra_Calculada,Gap_IAA_IDA,Media_Academica,RISCO,Faixa_Etaria,Tempo_Programa
RA-564,Aluno-564,1,H,2009,13,Menino,2019,9.5,3.8,5.0,2.3,6.833,5.0,4.972,Quartzo,-2,0,2.5,2.0,,Quartzo,7.2,3.05,1,Adolescente (11-14),3
RA-565,Aluno-565,1,H,2009,13,Menino,2022,9.0,4.1,7.5,2.9,5.917,5.0,5.233,Quartzo,-2,0,4.0,1.8,,Quartzo,6.1,3.5,1,Adolescente (11-14),0
RA-566,Aluno-566,1,H,2010,12,Menina,2022,9.5,8.4,7.5,8.5,7.917,5.0,7.729,Ametista,-2,0,9.5,7.5,,Ametista,1.0,8.45,0,Adolescente (11-14),0
RA-567,Aluno-567,1,H,2011,11,Menino,2019,9.5,6.0,7.5,4.8,6.833,5.0,6.281,Ágata,-1,0,4.3,5.2,,Ágata,4.7,5.4,1,Adolescente (11-14),3
RA-568,Aluno-568,1,J,2008,14,Menino,2018,8.0,8.6,6.9,8.3,7.944,2.5,7.306,Ametista,-3,0,8.0,8.5,,Ametista,-0.3000000000000007,8.45,0,Adolescente (11-14),4
RA-569,Aluno-569,1,J,2010,12,Menina,2020,9.5,8.7,5.0,6.8,7.333,5.0,7.074,Ametista,-2,0,6.3,7.3,,Ametista,2.7,7.75,0,Adolescente (11-14),2
RA-570,Aluno-570,1,J,2012,10,Menina,2019,9.0,7.0,7.5,1.3,6.778,5.0,5.722,Quartzo,-1,0,0.7,2.0,,Ágata,7.7,4.15,1,Criança (até 10),3
RA-571,Aluno-571,1,J,2011,11,Menina,2019,8.5,8.8,7.5,3.7,6.944,5.0,6.589,Ágata,-1,0,3.3,4.0,,Ágata,4.8,6.25,1,Adolescente (11-14),3
RA-572,Aluno-572,1,J,2013,9,Menino,2022,8.5,8.0,7.5,6.8,6.833,10.0,7.48,Ametista,0,0,4.5,9.0,,Ametista,1.7000000000000002,7.4,0,Criança (até 10),0
RA-573,Aluno-573,1,J,2011,11,Menino,2020,9.5,9.9,7.5,8.2,8.944,5.0,8.261,Topázio,-1,1,8.3,8.0,,Topázio,1.3000000000000007,9.05,0,Adolescente (11-14),2
RA-574,Aluno-574,1,J,2012,10,Menino,2022,9.5,7.2,5.0,7.5,6.944,5.0,6.86,Ágata,-1,0,5.5,9.5,,Ágata,2.0,7.35,0,Criança (até 10),0
RA-575,Aluno-575,1,J,2010,12,Menino,2019,8.0,6.1,7.5,2.8,7.0,5.0,5.889,Quartzo,-2,0,2.7,3.0,,Ágata,5.2,4.449999999999999,1,Adolescente (11-14),3
